lat,lon,id,pm2_5_cf_1_count,pm2_5_atm_count,p_2_5_um_count,start_date,end_date,Network
35.3595,-119.114,17565,9002,9002,9002,01-01-2019 00:00,13-01-2020 23:20,PPA
35.3595,-119.114,17566,9003,9003,9002,01-01-2019 00:00,13-01-2020 23:20,PPA
36.6058,-119.45,17567,9003,9003,9003,01-01-2019 00:00,14-01-2020 23:21,PPA
36.6058,-119.45,17568,9003,9003,9003,01-01-2019 00:00,14-01-2020 23:21,PPA
36.6435,-119.485,17569,8940,8940,8940,01-01-2019 00:00,13-01-2020 23:20,PPA
36.6435,-119.485,17570,8940,8940,8941,01-01-2019 00:00,13-01-2020 23:20,PPA
34.7188,-118.291,17771,9002,9002,9002,01-01-2019 00:00,13-01-2020 23:20,PPA
34.7188,-118.291,17772,9002,9002,9003,01-01-2019 00:00,13-01-2020 23:18,PPA
34.0806,-118.635,17857,5433,5433,5432,01-01-2019 00:07,14-01-2020 23:06,PPA
34.0806,-118.635,17858,5685,5685,5813,01-01-2019 00:06,14-01-2020 23:08,PPA
33.8263,-118.38,17934,5624,5624,5624,11-01-2019 17:29,03-09-2019 02:00,PPA
36.7004,-119.562,18083,1602,1602,1521,29-03-2019 20:35,27-07-2019 01:01,PPA
36.7004,-119.562,18084,1512,1512,1511,24-01-2019 05:17,27-07-2019 01:01,PPA
34.2055,-118.203,18138,6169,6169,6169,01-01-2019 00:00,13-01-2020 23:55,PPA
36.8016,-121.665,18271,9003,9003,9003,01-01-2019 00:00,14-01-2020 23:39,PPA
36.8016,-121.665,18272,9003,9003,9003,01-01-2019 00:00,14-01-2020 23:41,PPA
34.2001,-118.197,18329,8928,8928,8928,01-01-2019 00:00,13-01-2020 23:00,PPA
34.2001,-118.197,18330,8928,8928,8928,09-04-2019 23:00,13-01-2020 23:00,PPA
36.5914,-121.834,18561,6504,6504,6504,01-01-2019 00:01,14-12-2019 17:00,PPA
36.5914,-121.834,18562,6504,6504,6505,01-01-2019 00:01,14-12-2019 17:00,PPA
36.8005,-119.786,18651,2349,2349,2349,01-01-2019 00:00,08-04-2019 21:00,PPA
36.8005,-119.786,18652,2349,2349,2349,01-01-2019 00:00,08-04-2019 21:00,PPA
36.8005,-119.786,18653,2349,2349,2349,01-01-2019 00:00,08-04-2019 21:00,PPA
36.8005,-119.786,18654,2349,2349,2349,01-01-2019 00:00,08-04-2019 21:00,PPA
36.8007,-119.786,18817,2339,2339,2349,01-01-2019 00:01,08-04-2019 00:01,PPA
36.8007,-119.786,18818,2349,2349,2349,01-01-2019 00:01,08-04-2019 21:00,PPA
33.8807,-118.389,18849,8437,8437,8437,01-01-2019 00:00,13-01-2020 23:50,PPA
33.8807,-118.389,18850,8438,8438,8437,01-01-2019 00:00,13-01-2020 23:44,PPA
34.0109,-118.476,18923,8983,8983,8982,01-01-2019 00:00,14-01-2020 23:46,PPA
34.0109,-118.476,18924,8983,8983,8982,01-01-2019 00:00,14-01-2020 23:44,PPA
34.8332,-119.048,18989,8397,8397,8397,20-01-2019 23:51,14-01-2020 23:09,PPA
34.8332,-119.048,18990,8395,8395,8396,20-01-2019 23:51,14-01-2020 23:11,PPA
36.7483,-119.796,18993,8129,8129,8039,01-01-2019 00:00,05-01-2020 04:00,PPA
36.7483,-119.796,18994,8130,8130,8129,01-01-2019 00:02,05-01-2020 04:00,PPA
